#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Cassini
#     SOURCE_NAME                     Cassini
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       MAG_1min>Cassini 1-min Magnetic Field
#     DATA_VERSION                    1
#     DESCRIPTOR                      magnetic_field>MAG - Dual Technique Magnetometer
#     PI_NAME                         Michele Dougherty
#     PI_AFFILIATION                  Imperial College, London
#     MISSION_GROUP                   Cassini
#     TEXT                            Cassini magnetic-field 1 minute averages for the year 2020 in RTN  coordinates.                        
#     TEXT                             RTN coordinates consist of R (radial component, Sun tothe spacecraft), T (tangential                  
#     TEXT                             component, parallel to the Solar    Equatorial plane and perpendicular to R),                         
#                                      and N (normal component, completes right handed set).                                                 
#                                     This file contains a subset of all of the Cassini MAG data for 2001consisting                          
#                                      of only the data after the day of the last Jupiter      bowshock crossing (2001-01-15).               
#                                     This file was produced from raw (L1A) data at the PDS/PPI node usingsoftware                           
#                                      provided by the Cassini MAG team, and employing the latest calibration available.                     
#                                      The MAG team reports that while range-0 data are well calibrated, higher range                        
#                                      data needs improvement (see the   RANGE_CHANGES.ASC document for a time history                       
#                                      of range changes). Thesedata will be replaced as the calibration is improved."                        
#                                     The data are mostly from the fluxgate magnetometer (FGM). The tableat vhm.txt                          
#                                      identifies the 52 days in 2000-2004 for which the data are solely from the                            
#                                      vector helium magnetometer (VHM).  Days not in the table contain only FGM data.VHM_mode               
#                                      variable indicates (value 1) whether data are from VHM                                                
#                                     The data were produced from raw (L1A) data at the PDS/PPI node using software                          
#                                      provided by the Cassini MAG team, and employing the latest calibration available.                     
#                                       PDS/PPI produced both 1-sec vectors and 1-min averages.  The MAG team reports                        
#                                      that while range-0 data are well calibrated for both FGM and VHM, higher range                        
#                                      data need improvement.  FGM_mode variable indicates (value 0) if data is range-0.Seehttp://www.igpp.uc
#                                      details.  In particular, this documentation reports that FGM wasin range=0                            
#                                      for the following extended intervals (plus other brief intervals):                                    
#                                     1999/230/05 - 1999/245/07 (YYYY/DDD/HH, inclusive)1999/245/09 - 2000/037/122000/039/00                 
#                                      - 2000/053/182000/053/20 - 2000/056/012000/057/23 - 2002/334/132002/334/17                            
#                                      - 2003/292/182003/292/22 - 2004/046/112004/046/15 - 2004/088/082004/088/12                            
#                                      - 2004/136/062004/136/11 - 2004/174/012004/174/06 - 2004/182/17                                       
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     LOGICAL_SOURCE                  cassini_mag_1min_magnetic_field
#     LOGICAL_FILE_ID                 cassini_mag_1min_magnetic_field_20030101_v01
#     LOGICAL_SOURCE_DESCRIPTION      1 min averaged magnetic field
#     TIME_RESOLUTION                 1 min
#     LINK_TEXT                       Above data in the form of
#     LINK_TITLE                      ASCII files
#     HTTP_LINK                       https://spdf.gsfc.nasa.gov/pub/data/cassini/
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Default time
#  2. magnetic field vector
#
EPOCH                                       BR                     BT                     BN
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
26-06-2004 00:00:00.000            -0.00700000               0.379000               0.375000
26-06-2004 00:01:00.000             -0.0220000               0.372000               0.379000
26-06-2004 00:02:00.000              0.0170000               0.407000               0.335000
26-06-2004 00:03:00.000              0.0500000               0.450000               0.293000
26-06-2004 00:04:00.000              0.0570000               0.431000               0.304000
26-06-2004 00:05:00.000              0.0430000               0.425000               0.301000
26-06-2004 00:06:00.000              0.0440000               0.426000               0.309000
26-06-2004 00:07:00.000              0.0290000               0.427000               0.326000
26-06-2004 00:08:00.000              0.0330000               0.395000               0.355000
26-06-2004 00:09:00.000              0.0700000               0.431000               0.287000
26-06-2004 00:10:00.000              0.0630000               0.456000               0.264000
26-06-2004 00:11:00.000              0.0610000               0.446000               0.261000
26-06-2004 00:12:00.000              0.0740000               0.457000               0.237000
26-06-2004 00:13:00.000              0.0830000               0.462000               0.225000
26-06-2004 00:14:00.000              0.0830000               0.451000               0.251000
26-06-2004 00:15:00.000              0.0800000               0.450000               0.243000
26-06-2004 00:16:00.000              0.0750000               0.446000               0.254000
26-06-2004 00:17:00.000              0.0690000               0.447000               0.268000
26-06-2004 00:18:00.000              0.0520000               0.444000               0.259000
26-06-2004 00:19:00.000              0.0560000               0.439000               0.260000
26-06-2004 00:20:00.000              0.0620000               0.442000               0.256000
26-06-2004 00:21:00.000              0.0590000               0.452000               0.262000
26-06-2004 00:22:00.000              0.0820000               0.443000               0.263000
26-06-2004 00:23:00.000              0.0740000               0.429000               0.274000
26-06-2004 00:24:00.000              0.0600000               0.462000               0.233000
26-06-2004 00:25:00.000              0.0580000               0.466000               0.231000
26-06-2004 00:26:00.000              0.0430000               0.471000               0.221000
26-06-2004 00:27:00.000              0.0370000               0.472000               0.210000
26-06-2004 00:28:00.000              0.0260000               0.475000               0.212000
26-06-2004 00:29:00.000              0.0340000               0.462000               0.223000
26-06-2004 00:30:00.000              0.0250000               0.465000               0.217000
26-06-2004 00:31:00.000              0.0340000               0.475000               0.204000
26-06-2004 00:32:00.000              0.0530000               0.473000               0.208000
26-06-2004 00:33:00.000              0.0530000               0.452000               0.233000
26-06-2004 00:34:00.000              0.0530000               0.440000               0.253000
26-06-2004 00:35:00.000              0.0520000               0.455000               0.247000
26-06-2004 00:36:00.000              0.0380000               0.469000               0.229000
26-06-2004 00:37:00.000              0.0330000               0.469000               0.222000
26-06-2004 00:38:00.000              0.0380000               0.465000               0.223000
26-06-2004 00:39:00.000              0.0410000               0.477000               0.222000
26-06-2004 00:40:00.000              0.0350000               0.474000               0.223000
26-06-2004 00:41:00.000              0.0460000               0.454000               0.260000
26-06-2004 00:42:00.000              0.0510000               0.438000               0.278000
26-06-2004 00:43:00.000              0.0460000               0.431000               0.290000
26-06-2004 00:44:00.000              0.0630000               0.409000               0.298000
26-06-2004 00:45:00.000              0.0710000               0.412000               0.298000
26-06-2004 00:46:00.000              0.0930000               0.405000               0.316000
26-06-2004 00:47:00.000              0.0770000               0.409000               0.305000
26-06-2004 00:48:00.000              0.0780000               0.412000               0.294000
26-06-2004 00:49:00.000              0.0770000               0.418000               0.284000
